Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SPACE1-1:Space People Occupant Count [](TimeStep),SPACE2-1:Space People Occupant Count [](TimeStep),SPACE3-1:Space People Occupant Count [](TimeStep),SPACE4-1:Space People Occupant Count [](TimeStep),SPACE5-1:Space People Occupant Count [](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE2-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE3-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE4-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE5-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 06/01  00:15:00,24.275000000000002,0.0,0.0,0.0,0.0,0.0,24.260686518263977,0.0,0.0,22.324232830665583,15.0,25.0,22.28561830027305,15.0,25.0,22.3122749283898,15.0,25.0,22.241790323284302,15.0,25.0,22.37234617812264,15.0,25.0,30.905988486930937,31.518774410665316,31.06559185718828,32.13820704319079,29.48055532546927 
 06/01  00:30:00,24.25,0.0,0.0,0.0,0.0,0.0,24.133648833448415,0.0,0.0,22.28758645128854,15.0,28.04038715362549,22.249039538542963,15.0,23.049516677856445,22.27719184836897,15.10603054612875,29.77661418914795,22.204928903814046,15.0,28.670321702957153,22.332953730261384,15.0,27.587239980697632,31.54445283052806,32.16646275648415,31.677444684097182,32.77692142285741,30.141860724133608 
 06/01  00:45:00,24.224999999999998,0.0,0.0,0.0,0.0,0.0,23.969281651892768,0.0,0.0,22.27213299325352,15.0,25.773316383361816,21.117444018112366,15.0,21.20513916015625,22.263355517596526,15.16585973650217,30.0,22.190853413245886,15.0,30.0,22.31604978608683,15.0,27.91361439228058,31.885762168592407,42.50118952151432,31.991223889347225,33.089900296641346,30.515802308378625 
 06/01  01:00:00,24.2,0.0,0.0,0.0,0.0,0.0,23.6005354367021,0.0,0.0,22.24314230669144,15.0,25.963272944092743,19.674114668197834,15.0,19.230968713760376,22.236621973142775,15.036412991583346,30.0,22.16189664961292,15.0,30.0,22.287315238632218,15.0,28.012631490826607,32.34072178762034,57.40500120710956,32.41220877801662,33.532559431452086,31.005738996114758 
 06/01  01:15:00,24.424999999999997,0.0,0.0,0.0,0.0,0.0,23.368985524095528,0.0,0.0,22.215346052086616,15.0,25.83365547657013,19.260766660488652,15.0,19.009426683187485,22.209533345012797,15.0,30.0,22.13291005273615,15.0,30.0,22.256955487365317,15.0,28.222209453582764,32.85597482467638,63.67798070208296,32.92569361893261,34.06788671539739,31.61999605857423 
 06/01  01:30:00,24.65,0.0,0.0,0.0,0.0,0.0,23.46714728741965,0.0,0.0,22.183594052442704,15.0,24.26207196712494,20.47673124484724,15.0,20.780151337385178,22.178262282725985,15.0,30.0,22.099331831691604,15.0,30.0,22.221973657754216,15.0,29.18407380580902,33.37639433146991,52.94386605317424,33.444193891804886,34.62105363743896,32.19913772848935 
 06/01  01:45:00,24.875000000000004,0.0,0.0,0.0,0.0,0.0,23.378435967592427,0.0,0.0,22.137547284792344,15.0,24.963570952415466,20.208588501499896,15.0,20.087167233228683,22.13257724058413,15.0,30.0,22.050159566456987,15.0,30.0,22.169431178478735,15.0,29.071249097585678,33.90185167060653,54.45904169811139,33.969464538207035,35.186669752290726,32.79960412022935 
 06/01  02:00:00,25.1,0.0,0.0,0.0,0.0,0.0,23.2855533232483,0.0,0.0,22.140427264446934,15.0,24.805410504341125,20.377914382073758,15.0,20.394997030496597,22.131828396532125,15.0,30.0,22.053381725316928,15.0,30.0,22.14985243609968,15.0,30.0,34.02383816192288,53.51494965341292,34.15797726801041,35.31470084431368,33.210127755229024 
 06/01  02:15:00,25.300000000000004,0.0,0.0,0.0,0.0,0.0,23.213943136022376,0.0,0.0,22.13620676360603,15.0,24.174612045288086,20.573194126504372,15.0,20.595762968063354,22.12157028962844,15.0,30.0,22.045004692456402,15.0,30.0,22.133346974086447,15.0,29.566612899303436,34.23637967294165,51.75524704769701,34.46918520851466,35.58021762819449,33.57312244825438 
 06/01  02:30:00,25.5,0.0,0.0,0.0,0.0,0.0,23.24267832622848,0.0,0.0,22.125582639120832,15.0,25.74434781074524,21.224576775314517,15.0,21.84069311618805,22.10647712149927,15.0,30.0,22.029522588408735,15.0,30.0,22.124653961076028,15.0,30.0,34.46616103442395,45.518694807421696,34.78225175030195,35.889114448859246,33.80584301178911 
