Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SPACE1-1:Space People Occupant Count [](TimeStep),SPACE2-1:Space People Occupant Count [](TimeStep),SPACE3-1:Space People Occupant Count [](TimeStep),SPACE4-1:Space People Occupant Count [](TimeStep),SPACE5-1:Space People Occupant Count [](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE2-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE3-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE4-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE5-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 06/01  00:15:00,24.275000000000002,0.0,0.0,0.0,0.0,0.0,24.260686518263977,0.0,0.0,22.324232830665583,15.0,25.0,22.28561830027305,15.0,25.0,22.3122749283898,15.0,25.0,22.241790323284302,15.0,25.0,22.37234617812264,15.0,25.0,30.905988486930937,31.518774410665316,31.06559185718828,32.13820704319079,29.48055532546927 
 06/01  00:30:00,24.25,0.0,0.0,0.0,0.0,0.0,24.133648833448415,0.0,0.0,22.28758645128854,15.0,28.636920928955078,22.249039538542963,15.0,27.838456869125366,22.27719184836897,17.9680233001709,28.022528171539307,22.204928903814046,15.0,28.740824699401855,22.332953730261384,15.0,28.96984553337097,31.54445283052806,32.16646275648415,31.677444684097182,32.77692142285741,30.141860724133608 
 06/01  00:45:00,24.224999999999998,0.0,0.0,0.0,0.0,0.0,24.015730502435527,0.0,0.0,22.256362331200478,15.0,30.0,22.218543442159884,15.0,28.106414020061493,22.24826548979171,15.0,30.0,22.17506864756843,15.0,30.0,22.297704428704055,15.0,30.0,32.1230669380265,32.73444956288168,32.223361492037185,33.32606645397985,30.76433385603289 
 06/01  01:00:00,24.2,0.0,0.0,0.0,0.0,0.0,23.905441273098027,0.0,0.0,22.22875291431108,15.0,30.0,22.192440772327156,15.0,28.43006381392479,22.223166385786353,15.0,30.0,22.149013940602575,15.0,30.0,22.265786455964683,15.0,30.0,32.657396670420596,33.248334422800696,32.72120627332467,33.83718335591708,31.35332635913612 
 06/01  01:15:00,24.424999999999997,0.0,0.0,0.0,0.0,0.0,23.801822123760083,0.0,0.0,22.207277162777057,15.0,30.0,22.171194097475972,15.0,28.876276284456253,22.202718870334518,15.0,30.0,22.127276630478338,15.0,30.0,22.237979025960026,15.0,30.0,33.0895225481414,33.68983071229829,33.147973310878655,34.277328765032124,31.889684844910008 
 06/01  01:30:00,24.65,0.0,0.0,0.0,0.0,0.0,23.70539955548385,0.0,0.0,22.191825074200842,15.0,30.0,22.154532088702254,15.0,29.945946604013443,22.186981349542222,15.0,30.0,22.110092769954107,15.0,30.0,22.21425079333607,15.0,30.0,33.439797098542044,34.05990671999287,33.50407906922392,34.64538445399549,32.36959561571014 
 06/01  01:45:00,24.875000000000004,0.0,0.0,0.0,0.0,0.0,23.617282393937405,0.0,0.0,22.180852362289404,15.0,30.0,22.14176095033665,15.0,30.0,22.175295462458926,15.0,30.0,22.097017335769483,15.0,30.0,22.194021120807868,15.0,30.0,33.71825338362076,34.362239250491484,33.79252342934076,34.94306684004465,32.79394846849057 
 06/01  02:00:00,25.1,0.0,0.0,0.0,0.0,0.0,23.537510432869386,0.0,0.0,22.174155386946957,15.0,30.0,22.132185219643574,15.0,30.0,22.165577642421457,15.0,30.0,22.087321895165754,15.0,30.0,22.176583642878423,15.0,30.0,33.91865471246737,34.608442810411944,34.052891493628834,35.18248414165754,33.17378673795247 
 06/01  02:15:00,25.300000000000004,0.0,0.0,0.0,0.0,0.0,23.465176391224833,0.0,0.0,22.166177469962513,15.0,30.0,22.119195513231197,15.0,30.0,22.151879207070408,15.0,30.0,22.074493187455904,15.0,30.0,22.161680700392697,15.0,30.0,34.17381806834189,34.94076408120836,34.402972562740786,35.50415975613397,33.5250324691315 
 06/01  02:30:00,25.5,0.0,0.0,0.0,0.0,0.0,23.399143117169466,0.0,0.0,22.15614578946925,15.0,30.0,22.10294601147043,15.0,30.0,22.134810993024626,15.0,30.0,22.05855126984783,15.0,30.0,22.148866068671104,15.0,29.894606113433838,34.42421650211044,35.27991214831033,34.76062948330569,35.83152843754583,33.83744476139516 
