Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SPACE1-1:Space People Occupant Count [](TimeStep),SPACE2-1:Space People Occupant Count [](TimeStep),SPACE3-1:Space People Occupant Count [](TimeStep),SPACE4-1:Space People Occupant Count [](TimeStep),SPACE5-1:Space People Occupant Count [](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE2-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE3-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE4-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE5-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 06/01  00:15:00,24.275000000000002,0.0,0.0,0.0,0.0,0.0,24.260686518263977,0.0,0.0,22.324232830665583,15.0,25.0,22.28561830027305,15.0,25.0,22.3122749283898,15.0,25.0,22.241790323284302,15.0,25.0,22.37234617812264,15.0,25.0,30.905988486930937,31.518774410665316,31.06559185718828,32.13820704319079,29.48055532546927 
 06/01  00:30:00,24.25,0.0,0.0,0.0,0.0,0.0,24.133648833448415,0.0,0.0,22.28758645128854,15.0,30.0,22.249039538542963,15.0,30.0,22.27719184836897,15.0,30.0,22.204928903814046,15.0,22.627931833267212,22.332953730261384,15.0,29.275017261505127,31.54445283052806,32.16646275648415,31.677444684097182,32.77692142285741,30.141860724133608 
 06/01  00:45:00,24.224999999999998,0.0,0.0,0.0,0.0,0.0,23.875338784005216,0.0,0.0,22.26932566180284,15.0,30.0,22.23133781742365,15.0,30.0,22.26065215605766,15.0,30.0,20.484262282521676,15.0,20.264857292175293,22.313563478552698,15.0,24.51080751419067,31.899709942741723,32.50865293082997,32.004886466729346,48.63467272664229,30.53138166016791 
 06/01  01:00:00,24.2,0.0,0.0,0.0,0.0,0.0,23.4402353139086,0.0,0.0,22.22978524951198,15.0,30.0,22.19312257852434,15.0,30.0,22.22403297590906,15.0,30.0,19.21554098270432,15.0,16.686934709548947,22.270460600636063,15.0,29.510807514190667,32.532492070952145,33.11734958463525,32.60053896019245,62.84156513912508,31.251531610011142 
 06/01  01:15:00,24.424999999999997,0.0,0.0,0.0,0.0,0.0,23.281486363509543,0.0,0.0,22.205887867695594,15.0,27.85130023956299,22.168135637186268,15.0,30.0,22.20032148563937,15.0,30.0,19.104165988760663,15.0,18.94209337234497,22.245159231520198,15.0,25.473926067352295,33.02626704097135,33.63160807810664,33.09676509961801,65.8626122495617,31.830404960714617 
 06/01  01:30:00,24.65,0.0,0.0,0.0,0.0,0.0,23.087275329306852,0.0,0.0,22.170265542376438,15.784798264503479,30.0,22.130801700797537,15.0,30.0,22.164671763667734,15.0,30.0,18.86675734265378,15.0,18.21793919801712,22.204616381321227,15.0,27.60538625717163,33.48698729964012,34.11778902479938,33.562055535983575,68.35687112399921,32.37814243741478 
 06/01  01:45:00,24.875000000000004,0.0,0.0,0.0,0.0,0.0,22.9154809014766,0.0,0.0,22.138259265713355,15.0,25.404158115386963,22.097454536314693,15.0,30.0,22.132455932116592,15.0,30.0,18.66080139051191,15.0,18.59627476334572,22.161673740716285,15.0,26.499746918678284,33.91797916290349,34.56925824214511,34.00198647822761,70.64951550325165,32.98133025754322 
 06/01  02:00:00,25.1,0.0,0.0,0.0,0.0,0.0,22.78340151362111,0.0,0.0,22.117042616748282,15.0,25.64142245054245,22.0738573139542,15.0,30.0,22.108308383413114,20.0,30.0,18.586187003045286,15.0,16.970886141061783,22.12585090607941,15.0,24.74923300743103,34.24738478352381,34.93965783653624,34.394267497421794,71.75182437953093,33.54347125768767 
 06/01  02:15:00,25.300000000000004,0.0,0.0,0.0,0.0,0.0,22.677088500522444,0.0,0.0,22.099476270878096,15.0,30.0,22.051312850949806,15.0,30.0,22.084780924009944,15.125600814819336,28.59086775779724,18.56810684235792,15.0,17.0,22.098587924210346,15.0,28.133482217788696,34.58568991868327,35.35351704781236,34.8319782043191,72.26641915209342,34.01710591104491 
 06/01  02:30:00,25.5,0.0,0.0,0.0,0.0,0.0,22.5848839434001,0.0,0.0,22.08172018832056,15.0,28.356616735458374,22.027053066202374,15.0,30.0,22.05971951886037,15.0,30.0,18.547840973291034,15.0,17.922443866729736,22.077241813532265,15.22223949432373,23.133482217788696,34.89918021028846,35.75880053247799,35.258412064333996,72.69827564999018,34.41359095441358 
 06/01  02:45:00,25.699999999999996,0.0,0.0,0.0,0.0,0.0,22.500380578169,0.0,0.0,22.064364412337746,15.0,29.875112414360046,22.00472597042845,15.0,30.0,22.035053609264914,15.0,30.0,18.519772558545196,15.0,16.27447509765625,22.059251529772556,15.0,28.133482217788696,35.18930565055271,36.10831436091981,35.66277718408571,73.17876312054393,34.757975251351695 
 06/01  03:00:00,25.9,0.0,0.0,0.0,0.0,0.0,22.421035626285548,0.0,0.0,22.048803823553538,15.0,30.0,21.9844494842409,15.0,30.0,22.01255854221253,15.0,30.0,18.495829436606837,15.0,17.0,22.0433569895829,15.0,23.9446542263031,35.44878532085849,36.444716954990874,36.033398544276146,73.58273249030239,35.065993870521396 
 06/01  03:15:00,25.974999999999998,0.0,0.0,0.0,0.0,0.0,22.346612482417683,0.0,0.0,22.03588895327645,15.0,28.337364435195923,21.968555472818927,15.0,30.0,21.995780576592807,15.0,30.0,18.480322768777363,15.0,17.0,22.027928336246525,16.07004165649414,27.019490957260132,35.647811603284765,36.67487824321915,36.27488597054065,73.84348576582578,35.347138344764275 
 06/01  03:30:00,26.049999999999997,0.0,0.0,0.0,0.0,0.0,22.45451292644563,0.0,0.0,22.031399818992,17.829576015472412,30.0,21.965394026812,15.0,30.0,21.99519822590309,15.0,30.0,19.154613542851532,15.0,19.18647575378418,22.022538595531312,15.0,22.14686942100525,35.80849383130986,36.81132623378951,36.358686949292306,68.18409882222647,35.52648765168155 
 06/01  03:45:00,26.125,0.0,0.0,0.0,0.0,0.0,22.617826031952703,0.0,0.0,22.023076512832695,15.099896669387817,25.0,21.95666289814135,17.421001434326172,30.0,21.987708936232522,16.57086670398712,30.0,20.34899088949632,17.310378789901733,20.85927391052246,22.01218384215189,16.054527759552002,27.03883719444275,35.95345666850808,36.96825380381792,36.495786671324254,56.37643986017768,35.69853363465373 
 06/01  04:00:00,26.2,0.0,0.0,0.0,0.0,0.0,22.397621171297146,0.0,0.0,22.013773238924884,15.0,27.661180973052982,21.945347223459567,15.248956203460695,30.0,21.97962894921887,16.6862815618515,30.0,19.0314493482821,15.0,18.006420612335205,21.9970166827405,15.0,28.071927547454834,36.03291862044601,37.09135466401829,36.564910357169325,67.0910282247741,35.85455685025798 
 06/01  04:15:00,26.2,0.0,0.0,0.0,0.0,0.0,22.259543721796987,0.0,0.0,22.01111429195997,15.0,30.0,21.942119470193695,15.0,30.0,21.977196567548248,15.0,30.0,18.793508433236482,15.0,15.701600313186646,21.991079123663354,15.0,27.731284022331238,36.21973304807914,37.2783954545043,36.747848932218965,71.38484748061734,36.157712680237324 
 06/01  04:30:00,26.2,0.0,0.0,0.0,0.0,0.0,22.1182493560408,0.0,0.0,22.00430326862745,15.0,30.0,21.9349302577777,15.0,30.0,21.971016476284593,15.0,30.0,18.625799982277762,15.0,17.66667950153351,21.980662006651592,15.0,23.011011958122253,36.3073233028032,37.363348893992736,36.82551107098014,72.61874517702111,36.2993453991433 
 06/01  04:45:00,26.2,0.0,0.0,0.0,0.0,0.0,22.363519606601365,0.0,0.0,21.997657777338347,15.0,30.0,21.928270096896625,15.0,30.0,21.965273418263326,15.0,30.0,20.203995865441556,15.0,21.245077729225162,21.971708442860365,15.0,28.011011958122257,36.487662260313634,37.546815042837736,36.99323365445324,58.335815351759244,36.514639134525176 
 06/01  05:00:00,26.2,0.0,0.0,0.0,0.0,0.0,22.503456764680887,0.0,0.0,21.99620523040073,15.208644270896912,30.0,21.925702636929067,15.0,30.0,21.961383692583667,15.0,30.0,21.367989388437024,15.0,21.84541141986847,21.962767757677053,15.0,26.880626440048218,36.510347406515216,37.60133642395718,37.073102830048576,45.04186761664547,36.59956593037149 
 06/01  05:15:00,26.174999999999997,0.0,0.0,0.0,0.0,0.0,22.40468496453518,0.0,0.0,22.006806111524995,15.0,30.0,21.93594348799798,16.441983938217163,30.0,21.96970528467768,15.0,30.0,19.89910017031199,15.0,19.682114481925964,21.966085268432828,15.0,29.02539086341858,36.437261235493175,37.526288090311596,37.0165265410328,58.38176551066501,36.62621000756708 
 06/01  05:30:00,26.15,0.0,0.0,0.0,0.0,0.0,22.333398940164333,0.0,0.0,22.01841933952655,15.0,30.0,21.94971261095371,15.0,30.0,21.984416103231638,15.0,30.0,19.703292477824466,15.0,19.705776631832123,21.9736026856461,15.0,24.02539086341858,36.437546606081,37.4758829468199,36.94049540608739,61.62551169157754,36.699191567206 
 06/01  05:45:00,26.125000000000004,0.0,0.0,0.0,0.0,0.0,22.390389423092536,0.0,0.0,22.02078831255823,15.0,30.0,21.961721556669385,18.17543315887451,30.0,22.00178325091499,15.0,30.0,20.48486878093369,15.0,20.628573656082153,21.974141981717523,15.0,29.02539086341858,36.180514426232186,37.03203137218081,36.39504498418007,53.97775218450201,36.46571438197785 
 06/01  06:00:00,26.1,0.0,0.0,0.0,0.0,0.0,22.44390468932718,0.0,0.0,22.05054221995341,15.0,30.0,22.007191527656435,15.0,30.0,22.051419018348792,15.0,30.0,21.090353346862926,15.0,25.628573656082153,21.993660124509486,15.0,24.295463800430298,35.5750866910346,36.164144760102936,35.45188588031202,47.00005295576568,35.974167466616095 
 06/01  06:15:00,26.125000000000004,0.0,0.0,0.0,0.0,0.0,22.47983186515728,0.0,0.0,22.094664201436686,15.0,30.0,22.07053202887043,15.530309677124023,30.0,22.1180367211258,15.70270150899887,30.0,21.350460732875938,15.0,25.78853613138199,22.023579934394956,18.065718173980713,28.372843980789185,34.71250374973717,34.98765442262436,34.229003800459395,43.25307234829305,35.30708857413724 
 06/01  06:30:00,26.15,0.0,0.0,0.0,0.0,0.0,22.54677183279539,0.0,0.0,22.182998740239636,15.0,30.0,22.19629425046135,15.0,30.0,22.25075797131667,19.29318016767502,30.0,21.862066253504423,16.439810395240784,24.41065102815628,22.087603840114582,15.0,27.75811356306076,33.52154607899108,33.31949568755654,32.50884882762014,37.99059018669756,34.41154990847177 
 06/01  06:45:00,26.174999999999997,0.0,0.0,0.0,0.0,0.0,22.605467925582705,0.0,0.0,22.27525860088638,15.0,30.0,22.323140581767127,15.0,30.0,22.38089424376596,15.0,30.0,22.154816259218972,15.0,22.969263970851898,22.1576121863527,15.0,30.0,32.24127341587079,31.600537134491177,30.79754017930979,34.49415297849757,33.41803068992854 
 06/01  07:00:00,26.2,0.0,0.0,0.0,0.0,0.0,22.663927673396575,0.0,0.0,22.36592436848057,15.0,30.0,22.444450640786215,15.0,30.0,22.500106124382153,15.0,30.0,22.262065488890592,15.0,25.849633395671844,22.22717853581742,15.0,26.900787353515625,30.97756297357398,29.94610438596324,29.20546763871795,32.79381386448564,32.43490131347062 
 06/01  07:15:00,26.275,0.0,0.0,0.0,0.0,0.0,22.68744790488694,0.0,0.0,22.415593950300885,15.0,30.0,22.514174599372904,15.717117190361023,30.0,22.56114183515857,15.0,30.0,20.95714129842966,15.0,20.849633395671848,22.257519343401853,15.118602812290192,30.0,30.019960831174288,28.701784960559436,28.097342897355773,43.56289510943619,31.721424602767996 
