Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SPACE1-1:Space People Occupant Count [](TimeStep),SPACE2-1:Space People Occupant Count [](TimeStep),SPACE3-1:Space People Occupant Count [](TimeStep),SPACE4-1:Space People Occupant Count [](TimeStep),SPACE5-1:Space People Occupant Count [](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE2-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE3-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE4-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE5-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 06/01  00:15:00,24.275000000000002,0.0,0.0,0.0,0.0,0.0,24.260686518263977,0.0,0.0,22.324232830665583,15.0,25.0,22.28561830027305,15.0,25.0,22.3122749283898,15.0,25.0,22.241790323284302,15.0,25.0,22.37234617812264,15.0,25.0,30.905988486930937,31.518774410665316,31.06559185718828,32.13820704319079,29.48055532546927 
 06/01  00:30:00,24.25,0.0,0.0,0.0,0.0,0.0,23.98452811249774,0.0,0.0,21.14535164399289,15.0,21.240943431854248,22.2717208825695,15.0,27.020859956741333,22.29973269546508,15.0,22.674238443374634,22.228457084823123,15.0,29.674481868743896,22.356557898784715,15.0,29.94894790649414,41.50807624932986,31.855864363544626,31.373180247625257,32.46223259132498,29.847084871914802 
 06/01  00:45:00,24.224999999999998,0.0,0.0,0.0,0.0,0.0,23.415019813283692,0.0,0.0,21.707875243915748,14.999999999999986,26.240943431854227,22.23538693818559,14.999999999999986,24.840545654296847,19.93758234671344,14.999999999999986,17.847945928573594,22.1919836337583,14.999999999999986,26.891083240509,22.322736912355307,14.999999999999986,24.94894790649412,37.47981389479789,32.39818861210382,53.2025788687346,32.99230459554278,30.411087471176984 
 06/01  01:00:00,24.2,0.0,0.0,0.0,0.0,0.0,23.562324632999907,0.0,0.0,21.927494403369835,15.0,30.0,22.188935356561103,15.0,29.840545654296875,21.130700393829432,15.0,22.84794592857361,22.14491965894891,15.0,28.319034695625305,22.277665534058556,15.0,26.302420139312744,35.80536619484825,33.439401647983445,45.663675842927404,34.05010716080528,31.51711468711153 
 06/01  01:15:00,24.424999999999997,0.0,0.0,0.0,0.0,0.0,23.552103510996545,0.0,0.0,22.000658536739586,15.0,30.0,22.169901787706873,15.0,28.19599449634552,21.421212295553,15.0,21.77997589111328,22.12633625450737,15.0,30.0,22.24902713631631,20.0,22.27227258682251,35.115494995098516,33.618959466737635,41.01138615571376,34.22477289838319,31.693810322025683 
 06/01  01:30:00,24.65,0.0,0.0,0.0,0.0,0.0,22.9729403813651,0.0,0.0,22.05316495303868,15.0,30.0,22.14058473727681,15.0,30.0,21.69343492954748,15.0,26.77997589111328,22.096316842292875,18.901971578598022,26.858356952667236,20.31274259282797,16.27227258682251,17.27227258682251,34.662760241233244,33.91990548661427,38.32233537730436,34.52406327165828,49.49986533812385 
 06/01  01:45:00,24.875000000000004,0.0,0.0,0.0,0.0,0.0,22.60693987820874,0.0,0.0,22.059859133733955,15.0,30.0,22.098914266308544,15.0,25.0,21.81531787672469,17.50484609603882,24.19620394706726,22.054220854426834,15.0,25.54387176036835,19.68624993714675,15.0,18.653844118118286,35.01128255140485,34.798730141511015,37.60467847200107,35.404146049176404,58.868654374449676 
 06/01  02:00:00,25.1,0.0,0.0,0.0,0.0,0.0,22.625359878815352,0.0,0.0,22.05609818042401,15.000000000000021,30.000000000000043,22.060967396431323,15.000000000000021,29.441340446472218,19.838651497402513,15.000000000000021,19.196203947067293,22.016137142643682,15.000000000000021,26.799523711204568,20.659917140839717,15.000000000000021,23.653844118118318,35.19439839924455,35.325544087498585,56.25639645672881,35.927020937481345,49.708449083789525 
 06/01  02:15:00,25.300000000000004,0.0,0.0,0.0,0.0,0.0,22.847301558616056,0.0,0.0,22.04303236274106,17.498375177383423,30.0,22.027024521845366,15.0,30.0,21.023753291500093,15.0,23.384896516799927,21.982295403203295,15.0,28.444002747535706,21.021529373546286,15.0,28.653844118118286,35.570721824455575,35.91038557190545,47.484211239490236,36.51048511840874,45.06339977349526 
 06/01  02:30:00,25.5,0.0,0.0,0.0,0.0,0.0,22.659901402462303,0.0,0.0,22.036977405830132,15.0,30.0,21.993051798614236,15.0,28.265428066253662,20.01224195104848,15.0,19.65908694267273,21.949338977374858,15.0,30.0,21.619630001565376,16.256511211395264,29.674527764320374,35.610978514895834,36.262300445541456,55.4914390893821,36.840690119904984,39.49447397088293 
